,Type,Avg BertScore,Std Bert,Max Bert,CQ Max Bert,Min Bert,CQ Min Bert,Bert Quartiles,Avg Meteor,Max Meteor,Min Meteor,Std Meteor,CQ Max Meteor,CQ Min Meteor,Meteor Quartiles,Avg chrF,Max chrF,Min chrF,Std chrF,CQ Max chrF,CQ Min chrF,chrF Quartiles,Avg Rouge F1,Rouge std F1,Max Rouge F1,CQ Max Rouge F1,Min Rouge F1,Worst CQ F1,Rouge Quartiles F1,Num Templates,Avg Bert F1,Std Bert F1,Max Bert F1,Sum Metrics
33,Few Shot Good pythia-410m-deduped 20,"(0.46229768, 0.5012638, 0.47957373)","(0.08671383, 0.07716151, 0.078374304)","(0.6047, 0.7433, 0.6669)","(' Why is a sport in the business?', 'What is a color?')","(0.242, 0.2185, 0.2297)","(' Are there any resources at the top of the list that can help me to answer this question?', '-')","(0.40711453557014465, 0.46285582333803177, 0.43340013921260834, 0.4513339698314667, 0.506270170211792, 0.47829434275627136, 0.5230075865983963, 0.5502129793167114, 0.43340013921260834)",0.12129346967252,0.2471059107641438,0.0695637746599496,0.0529820843683131, Why is a sport in the business?, Why did you decide to use this form of storytelling?,"(0.07881697237767035, 0.10883668619555609, 0.14452872870324313)",25.60902835162613,35.04195072561729,19.445974433714667,3.976425110625208, Why is a sport in the business?, Why did you decide to use this form of storytelling?,"(23.149771941069854, 25.245325156249656, 26.36629534944176)",0.11619332421964,0.1096272541078219,0.3636363636363636,"(' Why is a sport in the business?', 'What is a person?')",0.0,"(' Are you looking for information about sporting events?', 'What is located in a city?')","(0.01666667, 0.09821429, 0.17207792)",20,0.47957373,0.078374304,0.6669,8.472749436165806
34,Few Shot Good pythia-410m-deduped 25,"(0.42100465, 0.4980715, 0.45238188)","(0.08836505, 0.08261966, 0.07936897)","(0.7053, 0.6611, 0.6825)","(' Are there any differences between sports and sport?', 'What is the relation between a sport club and a sport?')","(0.2269, 0.2315, 0.2292)","(' Do I have a favorite sports game?', '-')","(0.3849292993545532, 0.4574444219470024, 0.4148646518588066, 0.4347328543663025, 0.5031940937042236, 0.45860254764556885, 0.4666675329208374, 0.5499841421842575, 0.4148646518588066)",0.1449797338073998,0.3076959481423376,0.0622886457864241,0.0665224998991055,"
What is the key to getting a job at the top level?", Will my answers be posted?,"(0.10977169989722932, 0.1275291125439776, 0.16631822314044936)",25.53104928743205,34.9403706369002,11.00078452409578,7.281812604434428,"
What is the key to getting a job at the top level?"," I’ve been looking for an interview for the past couple of years, so I just wanted to give a quick start to this year’s issue.
27) A month ago, I had the pleasure of interviewing a very good sportswriter, and I thought that it was a great way to get some insight into the sport of playing. I wanted a story, a discussion, an opportunity to share it with the world. The first step was to put together a list of all of the stories I was going to tell you about. This was the first time I felt like a sport-fiction writer. It was like, “You know, just go do it.” I said, ""You can do that, you know."" But I did it. At times, it became a little bit like “Oh, that’ll do.” And then I realized that I didn’t know what to do. And I ended up with a lot of personal interviews, in a fairly short period of time. So I started interviewing. Then, later, the questions began to come up. But the next day, after the initial question, about a few more weeks, people started asking me, ‘How can you do what you love?","(20.73615768573326, 26.96258767202265, 29.803278247146036)",0.1633730623326462,0.1083514937651176,0.3636363636363636,"('\nWhat is the key to getting a job at the top level?', 'What is the relation between a team and a city?')",0.0,"(' Will my answers be posted?', 'What is the authority of a team?')","(0.09153318, 0.14973262, 0.22997416)",25,0.45238188,0.07936897,0.6825,7.914202650975343
35,Few Shot Good pythia-410m-deduped 5,"(0.485211, 0.52792454, 0.5034347)","(0.081968196, 0.08802176, 0.07880933)","(0.7583, 0.7189, 0.7381)","(' How does a sport model relate to sport?', 'What is the relation between a sport club and a sport?')","(0.2, 0.2543, 0.2239)","(' How did this come about?', '-')","(0.4569402039051056, 0.48987361043691635, 0.46860719472169876, 0.4973154664039612, 0.5364044904708862, 0.5170281231403351, 0.5295342206954956, 0.5798170566558838, 0.46860719472169876)",0.1480497929634782,0.2156877681034425,0.0665407973957195,0.0494680765674322, Who is going to be the first person to use a specific sport for a sporting event?, How did this come about?,"(0.11524986603721811, 0.16282641976113982, 0.18006794394071257)",28.20754269562998,38.6766564225622,14.900982439854571,5.98771754431929, How does a sport model relate to sport?, How did this come about?,"(27.91817765959118, 28.612347863097316, 30.841329374806808)",0.1456302521008403,0.0950770140493392,0.2857142857142857,"(' Who is going to be the first person to use a specific sport for a sporting event?', 'What is a person?')",0.0,"(' How do you track all sport?', 'What is an organization an authority of?')","(0.10441176, 0.1302521, 0.22408964)",5,0.5034347,0.07880933,0.7381,9.427952929596014
36,Filling Chunks with LOV flan-base 1,"(0.45148462, 0.5103164, 0.47706613)","(0.067813426, 0.06779803, 0.061363276)","(0.6221, 0.647, 0.6343)","('In what country was the Competitive Sports role produced?', 'What sport union did a team compete in?')","(0.2236, 0.2452, 0.2339)","(""If you were to select a member of the elite national football team who was a member of the European Football League during the 1980s and '90s, where would you expect that your position was?"", '-')","(0.41158057004213333, 0.4812804237008095, 0.44472256302833557, 0.4600980579853058, 0.5194323062896729, 0.4835404306650162, 0.5000027567148209, 0.549805611371994, 0.44472256302833557)",0.1421032849859341,0.191520424659288,0.0964729576974648,0.0315251637505694,1. Where is the competitive sporting role produced?,1: Where was the competitive sporting role produced?,"(0.11285679749635574, 0.14596707576340476, 0.16593420034674405)",32.84318863412428,36.11720845186374,26.026107590564056,2.961566355618088,A sports person played a competitive game in a competition. He was asked to participate in one of those games. The person asked him to participate in another match. What did he do when the game was over?,Using a single piece of material to demonstrate a sporting function.?,"(31.16037470467594, 33.88301134087987, 34.71034083980202)",0.1315220140903037,0.0639612843850402,0.2666666666666666,"('1. Where is the competitive sporting role produced?', 'What is the authority of a team?')",0.0465116279069767,"('A sports person played a competitive game in a competition. He was asked to participate in one of those games. The person asked him to participate in another match. What did he do when the game was over?', 'Where is a team located?')","(0.10277778, 0.12222222, 0.14871795)",1,0.47706613,0.061363276,0.6343,12.392969189642544
37,Filling Chunks with LOV flan-base 10,"(0.49054676, 0.48919636, 0.48889846)","(0.08104815, 0.08850665, 0.08169756)","(0.6107, 0.6885, 0.6473)","('When was the prev round produced?', 'When is a team founded?')","(0.2488, 0.225, 0.2363)","('The competition was produced by who?', '-')","(0.4625654071569443, 0.44439220428466797, 0.45594659447669983, 0.48743143677711487, 0.499675914645195, 0.49057555198669434, 0.5415648818016052, 0.5498430877923965, 0.45594659447669983)",0.1110627012781977,0.1378715251670474,0.0849178262055999,0.0208737518943532,What was the competitive sporting role produced?,When was the prev round produced?,"(0.09234844310200606, 0.11166960521247338, 0.1324470975178806)",33.3600969866473,43.54361812410328,18.972980189520943,7.328467727078855,The competition was produced by who?,Who produced the prev round?,"(27.582777110311607, 35.1811636762468, 38.48500430289777)",0.1184938590820943,0.0859022034181234,0.2352941176470588,"('What was the competitive sporting role produced?', 'What is the relation between a team and a city?')",0.0,"('The competition was produced by who?', 'What is located in a city?')","(0.02941176, 0.13809524, 0.16346154)",10,0.48889846,0.08169756,0.6473,11.350456288571387
38,Filling Chunks with LOV flan-base 15,"(0.5123615, 0.5183374, 0.5139139)","(0.06376072, 0.07706463, 0.06495889)","(0.6207, 0.6964, 0.6564)","('What is the final of the multi discipline recurring competition?', 'What is the ranking of a team?')","(0.258, 0.226, 0.241)","('Why were the prevs in the league?', '-')","(0.4851153716444969, 0.4832676351070404, 0.4930129051208496, 0.5231989324092865, 0.524848222732544, 0.5252721905708313, 0.5524224042892456, 0.5608537495136261, 0.4930129051208496)",0.1499891379195325,0.2580339804095155,0.0919637119219762,0.0718458507848726,What is the final of the multi discipline recurring competition?,Why were the prevs in the league?,"(0.09386272213949275, 0.10942541400886238, 0.2268484012873023)",38.41375305216298,46.94253434744075,17.554209991324516,8.457946265832783,Who produced the competition type?,Why were the prevs in the league?,"(34.519264426541405, 41.09675694164548, 43.70462916623988)",0.1867023172905526,0.1105866952499963,0.3636363636363636,"('What type of person can I find?', 'What is a person?')",0.0,"('Where was the competitive sporting role produced?', 'What is a name?')","(0.12156863, 0.15, 0.27045455)",15,0.5139139,0.06495889,0.6564,10.044440736712328
39,Filling Chunks with LOV flan-base 20,"(0.50970685, 0.52519304, 0.5158848)","(0.08920035, 0.092657484, 0.086220495)","(0.7088, 0.7407, 0.7244)","('What is the round type of the competition?', 'What is the ranking of a team?')","(0.2481, 0.2122, 0.2287)","('What sport was the competition type?', '-')","(0.4508562535047531, 0.477434903383255, 0.46699003875255585, 0.52474245429039, 0.5364458858966827, 0.5313208401203156, 0.5720028728246689, 0.5895881056785583, 0.46699003875255585)",0.1696926614106552,0.2643762379747885,0.0877140314530524,0.0746988624347757,What is the round type of the competition?,The Prev Round was produced where?,"(0.09892159935598414, 0.14255470896844186, 0.2567987008917218)",34.758774763230704,47.75419797765316,16.778959633429338,10.182558422056283,What is the round type of the competition?,The Prev Round was produced where?,"(27.748073672743807, 35.36451187057149, 43.23380059509785)",0.1698664081017022,0.1598232521965112,0.5,"('What is the prev stage of the has round?', 'What is the authority of a team?')",0.0,"('Which athlete won the first round of the has round?', 'What is located in a city?')","(0.02941176, 0.1302521, 0.28846154)",20,0.5158848,0.086220495,0.7244,8.289145494672825
40,Filling Chunks with LOV flan-base 25,"(0.52209276, 0.5388121, 0.52895474)","(0.07680579, 0.08932353, 0.07832775)","(0.7065, 0.7472, 0.7263)","('What is the round type of the class?', 'What is the ranking of a team?')","(0.2414, 0.2614, 0.251)","('What type of person can i find?', '-')","(0.48630213737487793, 0.492503821849823, 0.49458494782447815, 0.52304607629776, 0.5390500426292419, 0.5267923772335052, 0.5624623000621796, 0.5967691540718079, 0.49458494782447815)",0.1860552015057658,0.3400651418587672,0.1034099817632061,0.0811617885962231,What is the last session associated with a object property?,Who produced the competitive sporting role?,"(0.12214998311499686, 0.14125403655171626, 0.2594655049651705)",36.81399793460876,46.83204334270103,21.687236986315423,7.570270481613627,What is the main component of the competition?,What was the prev round?,"(33.88565164014557, 38.48112388874446, 41.70633806669622)",0.2248484848484848,0.1117365432453444,0.3749999999999999,"('What is the last session associated with a object property?', 'What is located in a city?')",0.0,"('What was the prev round?', 'Where is a team located?')","(0.14545455, 0.23333333, 0.325)",25,0.52895474,0.07832775,0.7263,9.094123720734096
41,Filling Chunks with LOV flan-base 5,"(0.5209121, 0.52501464, 0.5209261)","(0.089706086, 0.087815136, 0.08203902)","(0.6999, 0.8116, 0.7516)","('What is a competitive sporting role?', 'What is a color?')","(0.2511, 0.2292, 0.2396)","('What was the competition type?', '-')","(0.4713917151093483, 0.4859352931380272, 0.4837314113974571, 0.5155363082885742, 0.5224874317646027, 0.5203272104263306, 0.5771894454956055, 0.5713207423686981, 0.4837314113974571)",0.1710516765006972,0.3334378513418189,0.0908285496954298,0.0829330270078153,What is a competitive sporting role?,Which sport production company produced the competition type?,"(0.10233702543853379, 0.13046308996234376, 0.23867910671878323)",41.84563232112015,51.57118685898327,33.721024253387284,5.499807559167082,What is a competitive sporting role?,1: Where was the competitive sporting role produced?,"(37.83042305231671, 41.60999242387091, 46.15785216685866)",0.2542135642135642,0.1599625781851122,0.6,"('What is a competitive sporting role?', 'What is a person?')",0.0,"('What was the competition type?', 'Where is a team located?')","(0.12878788, 0.27619048, 0.29642857)",5,0.5209261,0.08203902,0.7516,8.488349235377349
42,Filling Chunks with LOV flan-large 1,"(0.48767194, 0.54093987, 0.5119493)","(0.07978366, 0.08365605, 0.078603014)","(0.5908, 0.78, 0.6724)","('What is an example of a skill that should be learned?', 'What is a code?')","(0.2075, 0.2579, 0.23)","(""How do you describe an athlete's speed?"", '-')","(0.4427524581551552, 0.5003471374511719, 0.47038281708955765, 0.49462565779685974, 0.5476822555065155, 0.520434558391571, 0.5485399663448334, 0.5907953530550003, 0.47038281708955765)",0.1503375593959919,0.3031279296909316,0.064336998844135,0.0657570682271649,What is an example of a skill that should be learned?,How do you describe an athlete's speed?,"(0.11347827412719068, 0.12499083621120302, 0.16840816872233602)",32.7878415578585,48.39882132951639,19.58358604472947,9.059645631887914,Who has won the most medals in an athletics competition?,How do you describe an athlete's speed?,"(24.744888990869583, 34.65354032709368, 38.903916940096536)",0.2189065578384464,0.116533350170212,0.4210526315789473,"('What is the highest weight a person can lift in a given sport?', 'What is located in a city?')",0.0,"('What are the three facets of the sport that are considered?', 'Where is a team located?')","(0.14545455, 0.23026316, 0.27121212)",1,0.5119493,0.078603014,0.6724,8.835548235543374
43,Filling Chunks with LOV flan-large 10,"(0.49425808, 0.54115206, 0.51448196)","(0.07234956, 0.07961802, 0.06818372)","(0.6051, 0.763, 0.675)","('1: What are the four elements of a competitive sports team?', 'What is the authority of a team?')","(0.233, 0.2305, 0.2317)","('What type of sport is the basketball?', '-')","(0.45425108820199966, 0.5056296586990356, 0.4883866682648659, 0.5042873620986938, 0.5445897877216339, 0.5219524502754211, 0.5399588197469711, 0.5854398012161255, 0.4883866682648659)",0.1606988417431181,0.2543989600827472,0.0983082226314546,0.055994147655189,1: What are the four elements of a competitive sports team?,Where was the competitive sporting group?,"(0.11139646313989464, 0.14696149214836468, 0.20883376800570302)",36.70888473318687,52.208280650690654,27.965160488929023,7.742701605447075,Who produced the divisional competition?,What are the sub-disciplines of the game that are typically played?,"(30.97442185258887, 35.51159032753391, 38.76543166356112)",0.1975360862048168,0.1441181531768232,0.380952380952381,"('1: What are the four elements of a competitive sports team?', 'What is the relation between a person and a team?')",0.0,"('Where was the competitive sporting group?', 'What is an organization an authority of?')","(0.04545455, 0.20526316, 0.32894737)",10,0.51448196,0.06818372,0.675,10.462857993122864
44,Filling Chunks with LOV flan-large 15,"(0.4985566, 0.5452761, 0.5184219)","(0.08183545, 0.07953893, 0.0721617)","(0.6859, 0.8043, 0.7404)","('What is the name of the person that coached a competition?', 'What is the nickname of a team?')","(0.2315, 0.2485, 0.2397)","('In the UK, what is the name of the competition the most successful team have won in the last 10 years?', '-')","(0.4542791545391083, 0.5118580013513565, 0.48550866544246674, 0.4958702176809311, 0.5458701848983765, 0.5194006860256195, 0.5479920953512192, 0.5886555463075638, 0.48550866544246674)",0.1995300122206805,0.3289394307066043,0.0964729576974648,0.0704048617340085,What is the name of the person that coached a competition?,1: Where was the competitive sporting role produced?,"(0.157972562155075, 0.19657737645283724, 0.25173374081055117)",36.454343242824834,49.62114202269502,29.02626896424681,5.108152190408891,What is the name of the person that coached a competition?,1. What types of people are in the sports world?,"(34.031666614594556, 35.323564347477586, 37.34337825056356)",0.2182082895410569,0.1421663031399838,0.5333333333333333,"('What is the name of the person that coached a competition?', 'What is a person?')",0.0,"('1: Where was the competitive sporting role produced?', 'What is an organization an authority of?')","(0.20263158, 0.22222222, 0.25604839)",15,0.5184219,0.0721617,0.7404,10.089572161604416
45,Filling Chunks with LOV flan-large 20,"(0.47605133, 0.4885788, 0.481055)","(0.0755841, 0.07558792, 0.07155187)","(0.6669, 0.7012, 0.6836)","('Where was the knockout competition produced?', 'Where is a team located?')","(0.2227, 0.2332, 0.2278)","('Is the governing body complete or incomplete?', '-')","(0.43749264627695084, 0.4556537941098213, 0.4498760253190994, 0.47165651619434357, 0.4881705939769745, 0.47990821301937103, 0.5360277891159058, 0.5286117941141129, 0.5227447003126144)",0.1510301851096487,0.2289782068358677,0.084494515753002,0.0457887093424758,What type of competition is the last knockout competition?,How was the knockout competition produced?,"(0.10379688452084795, 0.1710645653668113, 0.17864137083820686)",34.31379362381813,44.09766200003959,19.116798132742773,9.030189221212192,What type of competition is the last knockout competition?,Who produces the governing body?,"(25.829592248997574, 39.649958205769565, 41.135537525032966)",0.1700536282889224,0.10823070869345,0.3703703703703703,"('What is the name of the tournament in which the team competes in order to qualify for the World Championships?', 'What is the authority of a team?')",0.0,"('Who produced the divisional competition?', 'What is located in a city?')","(0.13846154, 0.15384615, 0.24632353)",20,0.481055,0.07155187,0.6836,10.059579006245269
46,Filling Chunks with LOV flan-large 25,"(0.5139335, 0.53779125, 0.5240797)","(0.08238745, 0.07902379, 0.075649574)","(0.7697, 0.7734, 0.7715)","('What is the name of the group competition?', 'What is the official name of a delegation?')","(0.2202, 0.222, 0.2211)","('In what country did a multi-discipline competition exist?', '-')","(0.47215908765792847, 0.5087123066186905, 0.4955485090613365, 0.5173152685165405, 0.5427407622337341, 0.5243580341339111, 0.559892475605011, 0.5831811428070068, 0.4955485090613365)",0.1766391997887621,0.2722348432026026,0.092917503279926,0.0695351503815548,The competitive sporting group is a what?,Which type of event was the competition round produced for?,"(0.10682164919846288, 0.1806579527429929, 0.24608651025952802)",37.21609081547468,48.437306313990966,22.746246901849048,7.549516472187017,What is the name of the group competition?,What are the types of flag image that are used to create 2.0?,"(35.6075023940213, 39.619559949902076, 41.24148686749113)",0.2551336898395722,0.1581670183024276,0.5454545454545454,"('The competitive sporting group is a what?', 'What is a person?')",0.0,"('Which sport was the group based on?', 'What is a name?')","(0.14166667, 0.25, 0.35294118)",25,0.5240797,0.075649574,0.7715,9.51731080535024
47,Filling Chunks with LOV flan-large 5,"(0.4728025, 0.5447375, 0.5048558)","(0.07252144, 0.0736028, 0.068423755)","(0.6149, 0.7697, 0.6836)","('1. Where is the competitive sporting role located?', 'Where is a team located?')","(0.1997, 0.3229, 0.2468)","('1. Which sports have been contested by more than one team?', '-')","(0.43580006062984467, 0.5123097896575928, 0.47643089294433594, 0.47624972462654114, 0.5538205206394196, 0.5119556188583374, 0.5153921395540237, 0.5911418348550797, 0.47643089294433594)",0.1664431368939938,0.2630106009111658,0.0964729576974648,0.0549250603867557,1: What is the name of the sport in which there are 2 types of competition?,1: Where was the competitive sporting role produced?,"(0.13541229861338164, 0.14367411673701058, 0.1930659588790405)",35.66415419060016,46.37770091868125,26.08432694029437,6.930132955315165,1. Where is the competitive sporting role located?,1. Which sports have been contested by more than one team?,"(29.223081093163838, 35.59352102380217, 40.840004109941184)",0.1963741521636258,0.0971588740916686,0.3157894736842105,"('1. What is the main function of the olympics?', 'What is the relation between a team and a city?')",0.0,"('1: What are the major types of sport?', 'Where is a team located?')","(0.12878788, 0.20634921, 0.27121212)",5,0.5048558,0.068423755,0.6836,10.460200558931398
48,Filling Chunks with LOV pythia-410m-deduped 1,"(0.5185112, 0.5014076, 0.5076099)","(0.09005003, 0.07369829, 0.07371881)","(0.7694, 0.7262, 0.7472)","(' Where is the  competition?', 'Where is a team located?')","(0.2347, 0.2146, 0.2242)","(' Why was  league competition deconstructed?', '-')","(0.46525921672582626, 0.47101426124572754, 0.4737347364425659, 0.5158497095108032, 0.503805011510849, 0.5092630386352539, 0.5723869949579239, 0.5412130504846573, 0.4737347364425659)",0.1273500998838365,0.1942174184312835,0.0630344844149158,0.0486850886999641, Where is the  competition?, Why was  league competition deconstructed?,"(0.08832106357601348, 0.121467655239794, 0.1707804931214285)",38.49834201866604,50.836445177000655,23.43865865047156,10.240746241415549, What was the  competition?, Is the  session complete or incomplete?,"(28.65334933631825, 40.86524906063134, 48.12794632963005)",0.1444823597455176,0.1102356524165427,0.2857142857142857,"(' What was the  competition?', 'What is the relation between an organization and a team?')",0.0,"(' Where was the next round produced?', 'What is located in a city?')","(0.02631579, 0.14358974, 0.25)",1,0.5076099,0.07371881,0.7472,9.5391441967977
49,Filling Chunks with LOV pythia-410m-deduped 10,"(0.51135176, 0.505417, 0.5066094)","(0.08572622, 0.07345861, 0.07360877)","(0.7451, 0.7454, 0.7453)","(' Where is the  league competition?', 'Where is a team located?')","(0.2188, 0.2038, 0.211)","(' When was  league competition deconstructed?', '-')","(0.46604618430137634, 0.47716064006090164, 0.4760356768965721, 0.5110234022140503, 0.5063150227069855, 0.5016116797924042, 0.5648737102746964, 0.5399745553731918, 0.4760356768965721)",0.1256012369618114,0.1969091856901785,0.06544378146707,0.0523791143788628, Where is the  sporting organisation?, When was  league competition deconstructed?,"(0.08638653510150564, 0.09884764854386763, 0.18665178522508383)",39.04970564405523,52.208280650690654,21.011598941326422,10.99106660586424, Who produced the  divisional competition?, When was the last session produced?,"(29.555615062392206, 42.55233516780309, 48.29263266131374)",0.125503663003663,0.126916900739846,0.4000000000000001,"(' Where is the  league competition?', 'Where is a team located?')",0.0,"(' When was  league competition deconstructed?', 'What is the relation between an organization and a team?')","(0.0, 0.13392857, 0.16346154)",10,0.5066094,0.07360877,0.7453,9.315914317652414
50,Filling Chunks with LOV pythia-410m-deduped 15,"(0.5069325, 0.49092996, 0.49723765)","(0.08505609, 0.07682926, 0.07554006)","(0.7354, 0.7349, 0.7352)","(' Where is the  unit competition?', 'Where is a team located?')","(0.2353, 0.232, 0.2337)","(' When was next session deconstructed?', '-')","(0.45528794825077057, 0.4499511793255806, 0.4546501189470291, 0.4989987313747406, 0.4879722446203232, 0.4910094738006592, 0.5697561055421829, 0.5315881818532944, 0.4546501189470291)",0.1451588953591324,0.2868905004434892,0.0637929379794918,0.068921867608554, What is the last  knockout competition?, When was next session deconstructed?,"(0.09032061169074462, 0.13573609971682796, 0.1918000424695205)",40.88775570560166,50.20195161225487,20.37237962584216,10.20947178326072, Who produced the  multi stage competition?, Who produced the first session?,"(39.900591020459764, 44.619787423555465, 48.55853807862151)",0.1679291786644728,0.137291842219691,0.4000000000000001,"(' Where is the  unit competition?', 'Where is a team located?')",0.0,"(' In which  knockout competition were they cast?', 'What is an organization an authority of?')","(0.03333333, 0.16783217, 0.22647059)",15,0.49723765,0.07554006,0.7352,8.72862236806154
51,Filling Chunks with LOV pythia-410m-deduped 20,"(0.5041912, 0.49443755, 0.49765712)","(0.077339545, 0.069214635, 0.06719323)","(0.7256, 0.7252, 0.7254)","(' Where is the  group competition?', 'Where is a team located?')","(0.2188, 0.2038, 0.211)","(' When was  league competition deconstructed?', '-')","(0.46394971013069153, 0.46913283318281174, 0.4691992849111557, 0.5012836754322052, 0.49628637731075287, 0.4996580630540848, 0.5535973608493805, 0.5301298648118973, 0.536290630698204)",0.1213310365607281,0.1918000424695205,0.06544378146707,0.0419662109910209, Where is the  group competition?, When was  league competition deconstructed?,"(0.09463893295888903, 0.10754706217162574, 0.16183438450695184)",42.598341618115846,50.62657200577243,23.359811781908363,7.514664028595086, Who produced the  league competition?, Is the prev session complete or incomplete?,"(41.272156415917394, 43.17030281430855, 48.337583920221476)",0.1239826839826839,0.1152418354891764,0.3333333333333333,"(' Where is the  group competition?', 'What is the authority of a team?')",0.0,"(' Who produced the  competitive sporting group?', 'What is an organization an authority of?')","(0.0, 0.13809524, 0.18181818)",20,0.49765712,0.06719323,0.7254,10.35420514830495
52,Filling Chunks with LOV pythia-410m-deduped 25,"(0.4692034, 0.4811223, 0.4735833)","(0.07378711, 0.070734695, 0.06685115)","(0.6775, 0.7051, 0.691)","(' Where was the first round produced?', 'Where is a team located?')","(0.2025, 0.2035, 0.203)","(' When was  sports discipline deconstructed?', '-')","(0.434488907456398, 0.4513550326228142, 0.4461350366473198, 0.464028999209404, 0.47803711891174316, 0.47230881452560425, 0.5132373124361038, 0.5145274251699448, 0.4461350366473198)",0.1418014889662551,0.2868905004434892,0.0669764974700782,0.063989107100467, What is the last recurring competition?, Does  knockout competition exist?,"(0.09062151604445026, 0.1427426462085875, 0.17390697319756102)",36.07559672462087,49.7478992054749,22.825637393822323,10.421342072581622, Who produced the prev unit competition?, Is the first stage complete or incomplete?,"(24.32223134167775, 40.271934355092576, 43.391994577744)",0.1352510234863176,0.11144870901358,0.3749999999999999,"(' What is the last recurring competition?', 'What is the relation between a person and a team?')",0.0,"(' Does  knockout competition exist?', 'What is the relation between an organization and a team?')","(0.03125, 0.14835165, 0.16346154)",25,0.4735833,0.06685115,0.691,9.334788368720323
53,Filling Chunks with LOV pythia-410m-deduped 5,"(0.5190578, 0.5031884, 0.5090164)","(0.092967816, 0.075103074, 0.07754673)","(0.7694, 0.7262, 0.7472)","(' Where is the  competition?', 'Where is a team located?')","(0.2317, 0.2179, 0.2246)","(' Why was sub discipline deconstructed?', '-')","(0.45377808809280396, 0.4669938012957573, 0.4660516306757927, 0.5278184413909912, 0.5038145184516907, 0.5174201130867004, 0.5849848687648773, 0.5451478660106659, 0.4660516306757927)",0.1655890407541542,0.1969091856901785,0.0613836409273376,0.0466671232313706, Where is the  sporting organisation?, Why was sub discipline deconstructed?,"(0.1724205820521598, 0.19078240712517222, 0.19369262783137142)",35.41494563545473,50.10544807439451,18.80806529519224,11.47198511461822, Where is the  competition?, Why was sub discipline deconstructed?,"(24.255643253036258, 35.82926106737712, 46.99939833886091)",0.216212006947301,0.1037762639953295,0.3636363636363636,"(' Where is the  competition?', 'What is the authority of a team?')",0.0,"(' Why was sub discipline deconstructed?', 'What is located in a city?')","(0.16083916, 0.22875817, 0.2625)",5,0.5090164,0.07754673,0.7472,10.143168351979671
54,Filling Examples flan-base 1,"(0.4967887, 0.53616893, 0.5144096)","(0.07937491, 0.07878021, 0.074730076)","(0.7858, 0.8383, 0.8112)","('What sport does a soccer player play?', 'What sport did a team play?')","(0.2147, 0.2171, 0.2159)","('How do i know if i have a racquetball in me?', '-')","(0.46284204721450806, 0.5058405697345734, 0.4849429652094841, 0.5069646239280701, 0.5419765114784241, 0.5238350033760071, 0.5417191535234451, 0.5780426114797592, 0.4849429652094841)",0.1585708346802081,0.2684916961767224,0.0737221040338606,0.0505954866544686,What is the most popular sport in the world?,Which sport requires an expert's knowledge?,"(0.1229811306741669, 0.1624468342817141, 0.18414480649805087)",33.11394432728009,48.514066677161374,18.0138520877809,8.735326982336623,What sport does a soccer player play?,How do i know if i have a racquetball in me?,"(30.255736157773022, 33.17755956814332, 34.13246592329939)",0.1562454212454212,0.1015598255275826,0.3076923076923076,"('What sport does a soccer player play?', 'What is located in a city?')",0.0,"('What sports sport has similar geographical origin to sport?', 'Who is a member of the crew of a team?')","(0.09920635, 0.1547619, 0.24305556)",1,0.5144096,0.074730076,0.8112,10.055567126655122
55,Filling Examples flan-base 10,"(0.49226108, 0.5535862, 0.5194835)","(0.08364145, 0.08870278, 0.08090056)","(0.6066, 0.7997, 0.6899)","('What is a sport that requires some specialized training?', 'What is a color?')","(0.2127, 0.2353, 0.2234)","('What sport has a UNESCO World Heritage status?', '-')","(0.44757023453712463, 0.5048171877861023, 0.4795578122138977, 0.4855845868587494, 0.5616452991962433, 0.5178714394569397, 0.5462761074304581, 0.6089615523815155, 0.4795578122138977)",0.2316575674520672,0.356502849161396,0.0892303413031917,0.0876958136926541,What is the purpose of a competency question about music?,Who do you think has the most people on the field?,"(0.17563269044639113, 0.20895515947967835, 0.3160419926328952)",30.08594290256664,39.86310596794546,16.69191454345227,7.707450890138579,What is a sport that requires some specialized training?,Can you search for an EC in a music resource?,"(23.843436313692283, 33.4223129530716, 36.011263637972135)",0.2314543901231208,0.1225020293828739,0.4000000000000001,"('What is the purpose of a competency question about music?', 'What is the relation between an organization and a team?')",0.0,"('Who do you think has the most people on the field?', 'What is a name?')","(0.13461538, 0.2481203, 0.32894737)",10,0.5194835,0.08090056,0.6899,9.101898000785992
